LGA Name,Male,Female,Median Age,0-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Married,Bachelor Degree level and above,Advanced Diploma and Diploma level,Australia,"No Religion, so described",Catholic,English only spoken at home,Worked full-time,Worked part-time,Professionals,Clerical and Administrative Workers,Technicians and Trades Workers,PersonalMedianIncomeWeekly,FamilyMedianIncomeWeekly,People who travelled to work by public transport,People who travelled to work by car as driver or passenger,Couple family without children,Couple family with children
The Coorong (DC),51.3,48.7,46,18.1,9.9,9.5,10.7,13.9,15.3,13.9,6.7,2.1,49.9,6.4,6.5,84,32.7,11.6,89.7,57.4,32.7,8.2,8.4,9.2,499,1164,0.8,60.3,50.5,33.6
Tumby Bay (DC),49.1,50.9,50,16.6,7.7,8.5,9.3,13.9,16.7,15.2,8.5,3.6,56.9,9,6.4,88.5,33.2,12.8,94.3,56.3,33.7,11.9,10,12.5,570,1296,0.8,63.8,55.9,33.9
Unley (C),47.1,52.9,41,15.9,12.6,13.6,13.1,13.1,12.5,9.5,5.3,4.3,46.4,40.7,9,70.5,38.2,17.2,76.1,55.1,34.8,38.5,12.4,7.4,791,2289,11.3,62.7,40.2,45.1
Victor Harbor (C),47.2,52.8,58,13,7.5,6.7,8.4,10.3,14.8,21.6,12.3,5.4,55.8,11.9,9,74.7,35.2,10,91.4,41.6,45.2,15.4,11.5,14.4,481,1065,1,71.5,61,25.6
Wakefield (DC),50.9,49.1,44,19.5,10.6,10,11,13.8,14.7,11.6,5.7,2.9,50.1,8,6.1,82.8,32.3,12.7,90.4,54.1,33.3,8.9,9.3,11.6,549,1289,0.8,65.9,43.8,39.4
Walkerville (M),48.7,51.3,44,14.8,13.7,10.7,11.1,13.5,13.8,11,7.5,4.1,50.3,38.6,9.4,67,32.9,19.5,73.6,55.4,34.9,38.5,12.5,6.5,796,2326,8.1,68.1,43.6,43.6
Wattle Range (DC),50.5,49.5,46,18.2,10.2,8.6,11.4,14.7,15.8,12.3,6,2.8,51.7,7.9,5.6,84.3,39,19,90.9,53,33.2,11,9,12.9,547,1326,0.3,70.6,47.7,37.9
West Torrens (C),48.8,51.2,38,14.7,13.7,17.4,13.3,12.6,10.5,8,6.2,3.7,43.9,25.5,8.9,64.1,31,21.5,64.3,53.6,34.3,23.8,14.9,12.2,614,1612,12.4,67.8,39.7,42.6
Whyalla (C),50,50,40,19.2,12.2,12.7,11.8,14.8,12.4,9.4,5.7,2,42.5,8.6,5.5,73.8,38.6,19.5,87,52.5,29.5,14.7,9.8,17.9,497,1388,3.7,75.2,40.5,37.1
Unincorporated SA,61.1,38.9,43,13.9,9.1,15.5,14.6,18.1,16.6,8.6,2.9,0.7,38.6,7.5,5.4,75.3,31.8,12.4,72.2,68.9,19.6,8.4,7.4,18.5,774,1280,5.7,40.3,44.4,37.6
Yorke Peninsula (DC),51.6,48.4,55,13.7,7,7.1,8.1,12.7,18.7,18.8,9.6,4.2,55.5,7.3,6.5,84.3,28.9,11.6,93.1,51.5,35.9,10.3,9.4,13.2,483,1124,0.6,58.6,60.1,29
Yankalilla (DC),49.4,50.6,54,14.2,7.5,7.2,8.8,13.1,20.3,18.5,7.8,2.7,54.4,12.3,9.5,75,44.1,10,91.1,45.1,42.3,12.2,10.9,14.8,496,1189,0.8,66.2,58.3,29.6
Break O'Day (M),50.7,49.3,54,14.2,7.4,6.3,9.1,13.8,20.7,18.6,7.5,2.5,48.4,10.3,6.4,78,36.1,11.6,90.4,41.1,41.5,12.3,10.2,13.7,439,955,0.4,66.5,57.4,28.1
Brighton (M),48.8,51.2,34,23.6,13.6,13.2,13,12.4,12.2,8,3.2,0.9,40.6,5.6,5.5,87.4,39.7,18.6,91.5,54.5,32,8.5,14.4,16.4,568,1303,2.7,79.5,32.1,41
Burnie (C),48.1,51.9,41,18.3,13.7,11.4,11.5,13.8,12.8,10.2,5.9,2.3,43.3,9.7,6.7,85.1,37.6,15.4,91.6,51.5,34.1,14.6,13.2,14.3,523,1272,1.2,77,41.2,37.2
Central Coast (M) (Tas.),48.6,51.4,46,16.9,11.1,9.1,10.7,14.3,15.7,12.9,6.9,2.4,51.6,11.3,7.3,84.2,36.1,14.2,92.5,51.8,35,15.7,11.4,16.2,528,1301,0.8,75.5,47,36.2
Central Highlands (M) (Tas.),53.3,46.7,50,16.2,7.5,8.9,10.9,14.8,17.8,16.4,6.2,1,46.6,9.5,5.9,82.6,32.3,18.4,92.6,53.6,30.9,7.4,7.1,15.1,467,1074,0.6,62,54.6,31.1
Meander Valley (M),48.9,51.1,45,17.3,11.4,9.7,11.3,14.6,14.9,12.1,6.2,2.6,51.5,11.9,7.5,82.7,32.5,16.3,91.3,53.4,34.8,14.7,12.7,14.3,537,1359,0.8,74,44.6,40.6
Circular Head (M),51.1,48.9,41,20.4,12.4,10.9,11,14,14.7,10.2,5,1.5,48.5,6,5.6,82.5,32.7,15.7,90.3,56.8,31.5,7.8,8.5,11.3,581,1385,0.3,69.8,43.6,41.5
Clarence (C),48.5,51.5,43,17.9,11,11.4,12.4,13.5,13.9,11.2,6.2,2.7,47.9,18.8,8.8,84.3,37.8,18.5,90.3,54.7,34.8,21.5,16.3,13.8,673,1644,5.9,74.4,41.4,39.8
Derwent Valley (M),50,50,43,18.8,10.9,10.5,11.7,14.7,14.7,11.4,5.7,1.5,45.1,6.6,6,84.1,34.5,18.6,92,51.5,33.2,9.8,11.3,16.2,505,1264,2.1,75.6,41.4,39
Devonport (C),47.2,52.8,43,18.2,11.6,11,11.3,13.3,13.4,11.9,6.6,2.8,44.5,9.3,7.2,84.8,36.5,14.8,91.3,50.1,35.7,14,12,15,514,1224,0.8,77.4,41.9,35.7
Dorset (M),50.2,49.8,48,17.1,10.1,9.4,9.9,13.2,16.7,13.9,7.1,2.6,50.4,7.3,5.7,83,34.4,10.3,91,52.5,33,8.7,8.6,12.7,478,1114,0.3,68,51.1,34.5
Flinders (M) (Tas.),54.3,45.7,53,14.6,6.5,7.4,9.7,13.4,21.7,18.7,6.3,1.7,45.9,15,9.7,83.9,44.4,11.5,93.1,49.1,35.9,13,6.7,14.8,575,1362,NA,64,57.4,32.2
George Town (M),49.9,50.1,46,18.5,10.6,8.8,10.2,14.6,15.9,13.5,6.2,1.9,47.9,7.3,5.6,79.6,37.1,15.3,89.7,50.2,31.5,10.7,9.7,16.8,457,1087,1,77.5,47.4,32.8
Glamorgan/Spring Bay (M),50.9,49.1,56,12.2,5.9,7.1,9.2,13.2,20.3,21.2,8.2,2.5,52.2,10.3,8.7,79.8,31.1,13,89.3,46.9,38.5,10.4,9.6,14.8,498,1054,0.8,61.1,62.7,24.7
Glenorchy (C),48.4,51.6,39,18.2,12.5,13.4,12.2,13.3,12.6,9.4,5.9,2.5,38.4,10.4,6.4,79.9,35.1,19.6,83.9,53.3,33.7,13.4,15.9,15.4,561,1321,6.1,74.3,36.4,37.1
Hobart (C),48.7,51.3,39,14.3,15.1,15.4,12.6,12.9,12.7,9.3,4.9,2.8,41.4,39.8,8.2,71.2,46.4,14.2,79.1,51.9,36.6,36.7,12.6,8.9,718,2023,5.6,55.8,45,39.5
Huon Valley (M),49.9,50.1,45,17.9,9.9,9.2,11.7,14.6,16.6,12.9,5.5,1.6,48.5,15.7,8.6,77.2,42.3,15.2,89.8,50.3,37.1,15.8,12.2,15.6,495,1246,1.7,72.4,47.5,37.6
Kentish (M),51.1,48.9,47,16.7,10.5,8.8,10.8,16.5,16.9,13.1,5.1,1.6,53.3,9.9,7.7,79.4,37.5,11.5,90.3,48.9,36.5,12,9,16.3,475,1167,0.6,70.3,49.7,36.5
King Island (M),51.1,48.9,47,15.5,8,13,9.8,14,17.1,12.2,7.5,2.7,48.7,11.9,7.4,79.6,42.9,13.8,87.9,61.1,27.8,8.4,8.7,11.9,707,1642,0.4,65.2,55,33.4
Kingborough (M),48.3,51.7,42,19.9,10.7,10.6,12.4,13.6,14.2,11,5.5,2,52,26.4,9.8,78.4,42.4,14.2,89.6,52.2,37.6,26,14.7,13.3,672,1694,5.3,72.8,40.8,42.7
Latrobe (M) (Tas.),49.1,50.9,47,16.7,9.3,9.3,11.3,13.8,15.6,14.3,7.1,2.4,53.2,10.1,7.3,84.2,33.8,15.9,91.8,54.3,32.8,13.9,10.3,16.6,555,1320,0.6,76,49.5,35.2
Launceston (C),48.4,51.6,39,17.8,14.4,12.5,12,13.1,12.3,10,5.4,2.6,42.1,16.1,7,79.6,36.8,14,85.9,51.2,35.3,20.3,12.4,13.1,562,1362,1.7,74.6,39.8,38.1
Northern Midlands (M),49.6,50.4,46,17.1,10.8,9.4,11.1,14.6,15.5,13.1,6.3,1.9,50.9,10.1,7,82.9,31.2,13,90.9,54.7,33.6,12,11.3,15.4,555,1326,0.6,72.8,46.7,38.7
Sorell (M),49.5,50.5,42,18.6,10.9,11.6,11.8,14.3,15,11.1,4.9,1.8,45.5,10.5,7.8,84.3,39.7,15.9,92.1,52.5,35.1,13.2,15.2,16.5,587,1391,1.6,77.8,42.4,38.2
Southern Midlands (M),51.5,48.5,44,18.7,11.2,9.7,10.9,15.9,16.2,11.4,4.4,1.4,49.2,6.7,5,85,31.3,16.8,92.3,55.7,31.7,8.7,10.5,16.2,533,1268,1,71.2,43,40.3
Tasman (M),51.4,48.6,55,13.6,5.6,6.4,9.2,14.6,21.5,18.7,7.8,2.6,48.3,12.2,7.9,74.9,40.2,11.3,87.2,42.4,43.7,13.4,9.2,13.2,462,985,0.8,59.7,59.5,26.8
Waratah/Wynyard (M),49.5,50.5,46,17.1,10.3,9.4,10.6,14.8,15.4,12.9,7.2,2.3,49.4,9.7,7.1,83.3,36.5,15,92.1,51.9,34.8,14.3,11.3,15.4,498,1247,1.1,74.9,47.5,36.2
West Coast (M),52,48,44,18.6,9.2,11.2,12.1,16,16,10.8,5.3,0.9,40.8,7,5,82.1,33.3,22.5,89.9,50.3,29.1,9.9,7.9,16.7,469,1258,0.5,68.6,46.7,35.2
West Tamar (M),49,51,45,17.6,11.5,9.2,10.9,14.3,15.6,12.6,6.1,2.2,53.6,16.8,8.5,79.6,36,13.5,90.4,51.6,35.9,20.8,12.6,15.1,564,1418,1.1,76.3,45.9,39.7
Alpine (S),49.2,50.8,49,15.8,8.9,7.6,11.2,14.7,17.4,13.9,7.4,3.1,52.1,15.4,9.5,76.5,35.2,23.5,84.3,52.6,36.6,14.6,9.2,15.8,562,1322,1.1,65.1,50.7,35.1
Ararat (RC),53,47,46,15.5,9.8,10.7,11.6,13.8,15.4,12.7,7.3,3.1,47.4,10.3,7.8,82.5,32.5,19.5,83.6,54.8,33.7,13.2,8.4,11.8,556,1263,0.6,69.9,48.1,35.1
Moyne (S),50,50,43,20.4,10.2,9.3,12,14.4,15.1,11.1,5.3,2.3,54.1,14.2,9.1,84.1,30.1,28.2,90.4,57,32.2,13.9,8.5,12.1,620,1486,0.5,63.5,44.5,42.8
Ballarat (C),48.1,51.9,38,19.2,13.9,13,12.2,12.7,11.9,9.6,5.4,2.4,44.1,18.9,8.5,83.7,36.9,24.3,88.5,52.9,34.6,21.8,12.6,14.4,590,1489,3.2,76.3,38.5,41
Banyule (C),48.6,51.4,39,18.1,11.7,13.4,14.3,13.3,12,9.5,5.3,2.7,50.7,31.8,9.7,71.5,34.6,27.2,73.8,57,32.9,30.2,14.8,12.2,728,2033,16.7,66.4,34.9,48.3
Bass Coast (S),48.5,51.5,50,16.3,8.2,8.8,10.2,12.9,15.8,16.1,8.1,3.5,49.9,13.3,9,76.7,39,19.1,88,47,39.3,15.3,10.1,17.1,507,1192,1.1,70.4,49.5,33
Baw Baw (S),48.6,51.4,42,19.1,11.4,10.9,11.2,13.4,13.8,11.8,6.1,2.3,51.7,13.9,8.9,81.3,35,20,89.5,55,33.6,16.6,11.2,16.5,585,1462,2.8,73.4,43.1,40.9
Bayside (C),47.6,52.4,44,19,11.5,8.2,12.8,16.4,13,10,5.5,3.7,54.6,39.1,10.7,69,35.8,22.7,80.2,57.2,34.1,33.7,12.8,6.9,897,2765,16.5,63.4,34.9,51.8
Benalla (RC),48.5,51.5,49,15.7,10.3,8.7,9.5,13.5,16.3,14.3,7.9,3.8,49.5,11.5,9,82.8,31.2,21.1,89.1,54.2,33.7,15.2,10.9,15.6,537,1232,0.7,71.6,50.5,31.7
Boroondara (C),47.9,52.1,38,17.2,15.1,13.5,12.4,14.4,11.3,8.3,4.8,2.9,50.5,46.9,8.8,64.2,36.7,21.7,68.1,57.1,33.3,39.4,12.6,5.9,869,2652,21.5,57.4,34.3,51.6
Brimbank (C),50,50,35,18.4,14.1,16.1,13.5,12.8,11.4,8,4.1,1.5,49.5,16,8,44.9,16.8,31.3,35.7,54.3,30.1,14.5,13.7,13.8,487,1358,13.8,75.1,28.5,49.1
Buloke (S),50.6,49.4,51,16.1,8.8,7.6,9,13.8,16.7,13.4,9.4,5.4,52.9,9.8,6.2,84,23.7,26.3,88.4,56,33.6,14,8.7,10.5,473,1110,0.5,59.5,50.9,35.9
Campaspe (S),49.4,50.6,45,17.9,11,9.5,10.6,13.7,14.4,12.3,7.4,3.1,50.5,9.8,7.2,84.3,29.1,24,89.6,55.5,33,13.2,9.7,14.5,561,1349,0.4,71.3,45.4,38.5
Cardinia (S),49.2,50.8,34,23,12.9,14.5,14.1,13.3,10.2,7.3,3.3,1.3,50.5,13.8,10,74.8,36.2,21.7,83.2,59,30.5,14.5,14.1,18.2,680,1700,5.7,77,32.5,50.5
Casey (C),49.8,50.2,34,22.6,13.9,14.8,14.9,13.3,10.1,6.1,3,1.2,53.8,16.6,10.2,56.2,24.3,23.9,59.2,59,29.1,15,14.6,16.3,640,1655,7.9,79.2,27.7,55.7
Central Goldfields (S),49.4,50.6,50,15.5,10.1,7.7,9.4,13.3,15.6,15.7,9.1,3.4,43.9,7.4,5.9,82,34.2,18.3,90.4,48.5,36.8,11.3,9.3,16.6,452,1001,0.5,73.5,47.9,31.3
Hepburn (S),48.2,51.8,50,15.6,8,7.4,11.3,14.9,18.3,14.8,6.7,3.1,46.5,19.8,10.2,76.1,40.9,18.1,86.5,48.6,38.9,19.1,10.7,15.8,532,1287,3.2,66.8,49.1,35.1
Colac-Otway (S),50,50,45,17.6,10.9,10.5,10.8,13.5,15,12.3,6.7,2.8,47.3,11.6,8.2,83.3,34.8,25.1,89,52.9,36.5,12.3,9.1,13.7,574,1362,0.7,70.5,43.8,38.8
Corangamite (S),50.3,49.7,46,18.2,11,8.5,10.4,14.3,14.9,12.3,7.5,2.9,51.5,10.4,7,84.5,29,26.6,90.4,57.2,31.9,11.5,7.4,11.8,542,1301,0.6,59.8,45.1,39.7
Glenelg (S),49.8,50.2,47,16.2,10.7,8.5,11,15.1,16.2,12.6,6.8,2.8,48.9,9.2,7,82.8,33.7,15.9,89.9,52.6,34.3,13.4,9.6,14.5,536,1362,0.5,70.9,46.6,36.6
Darebin (C),48.3,51.7,36,16,12.4,19.4,15.6,13.1,9.3,6.4,5.3,2.5,40.7,32.7,8.4,59.3,35,24,56.3,56,32.2,30.7,13,11,650,1784,24.4,55.7,37.1,44.6
East Gippsland (S),49.1,50.9,50,15.8,9.1,8.5,9.5,12.8,16,16.7,8.5,3.1,50.9,11.1,8.4,79.1,36.5,17.1,87.9,49.1,37.2,14.7,10.9,14.7,506,1192,1,71,51.8,32.6
Unincorporated Vic,53.6,46.4,31,16.2,16.2,24.7,16,9.7,9.5,6,2.1,0,29.7,18,8.5,57.9,45.5,9,62.6,69.2,23.9,10,5.2,10,741,1430,6.6,16.7,44.9,39.1
Frankston (C),48.8,51.2,38,18.6,12.3,13.8,13.9,14,12,8.7,4.6,2,43.3,14.5,10.2,71.5,38.9,20.2,82.5,57.8,30.8,16.4,14,17.2,660,1649,5.9,78.5,33.9,43.9
Gannawarra (S),49.8,50.2,49,15.9,10.1,8,9.5,13.5,15.3,14.7,9.3,3.6,52.2,7.9,6.2,86.5,27.8,20.6,91,54.8,34,11.3,9.8,12.9,498,1188,0.3,65.9,50.8,36.3
Glen Eira (C),48.4,51.6,37,18.3,12.5,15.6,14.4,13.4,10.7,7.5,4.6,3,49.4,40.6,9.7,58.3,31.2,17.4,63.9,58,32.2,34.5,13.5,8.8,780,2248,22,61.1,35.7,50.2
Golden Plains (S),50.8,49.2,39,22.8,11.4,9.8,14.2,15.1,13.4,9.2,3.1,1,56.7,14.3,9.4,84.2,37.3,22.8,91.9,55.9,33.3,15.4,11.9,18.3,628,1630,1.8,76.6,37.7,50.7
Greater Bendigo (C),48.5,51.5,39,19.2,13.3,12.4,11.9,12.8,12.7,9.8,5.5,2.5,46.2,16.3,8.2,84.5,35.9,22.1,88.6,53.2,34.7,20.1,12.4,14.5,604,1452,1.9,76.5,39.7,40.4
Greater Dandenong (C),51,49,35,18,13.8,17.9,13.6,11.7,10.4,7.8,4.6,2,50.8,16.5,8.6,35.8,16.9,19.9,29.8,55.6,29.3,13.5,11.4,15.5,475,1260,12.4,76.8,29.7,49
Greater Geelong (C),48.5,51.5,40,18,12.9,12.7,12.5,12.8,12.3,10.1,5.7,2.8,47.4,18.7,9.5,77.1,33.6,25.4,83.2,53.3,34.9,20.8,12.2,15,600,1576,5.4,75.3,39.1,42.2
Greater Shepparton (C),49.7,50.3,39,19.9,12.4,12.3,12.2,13.4,12.4,9.7,5.5,2.3,49.2,12.2,7.7,76,27.1,24.7,76.8,56.5,31.2,17.1,11.8,13.7,588,1417,0.6,77.6,38.6,42.7
Hindmarsh (S),49.8,50.2,50,15.1,9.9,8.5,9.2,13.7,16.7,13.4,8.3,5.1,53.3,9.1,6.8,83.5,23,11.4,88.1,58.3,30.6,13.2,9.1,11.2,497,1217,0.4,64.5,51.6,35.2
Hobsons Bay (C),49.1,50.9,38,18.4,11,14.7,15.2,14.2,11.6,7.7,4.9,2.2,47.8,26.1,9,63.3,30.9,27.1,65.6,60.1,28.6,24.7,14.4,12.4,704,1921,17.4,67.4,34.3,47.4
Horsham (RC),48.8,51.2,42,19,11.6,11.6,11.1,12.8,13.6,10.3,6.7,3.1,50.3,13,8.7,87.7,29.5,16.9,90.8,55.1,33.9,17.2,11.6,14.3,617,1408,0.7,74.4,43.4,39.5
Hume (C),49.8,50.2,33,22.3,14.5,15.8,13.9,13.4,10,6.3,3,1,51.4,14.8,9,57.7,17,31,49.5,56.2,29.9,14.1,14.8,15.4,529,1473,10.3,77,25.9,54.7
Indigo (S),49.3,50.7,46,17.9,9.6,7.8,12.1,15.5,16.5,12.8,5.6,2.2,53,17.8,9.8,84.5,33.1,20.6,90.8,54.8,34.1,19.1,10.7,14.3,641,1540,0.8,70.9,46,40.1
Wangaratta (RC),48.2,51.8,45,18,10.4,9.3,11.6,13.6,14.5,12,6.9,3.6,49.8,14.1,9.3,83.9,29.8,27,88,54.1,35.1,17.8,11.2,14,595,1386,0.7,72.7,44.7,38.8
Kingston (C) (Vic.),48.6,51.4,40,17.6,11.2,13.1,14.8,14.3,11.6,8.9,5.5,2.7,49.9,25.3,10.6,63.3,31.4,25.7,69,59,31.1,24.3,15.2,13.4,704,1938,13.5,71.5,34.9,48.3
Knox (C),48.9,51.1,39,17.5,13,13.2,13.5,14.4,12.9,8.8,4.6,2,52.3,22.4,10.3,65.5,33.6,21.5,71,58.4,31.5,20.9,15.7,15.2,664,1820,8.4,78.4,33.1,50.6
Latrobe (C) (Vic.),48.9,51.1,41,18.1,12.5,12.3,11.4,13.3,13.8,10.4,5.7,2.4,44.8,10.8,7.4,78.4,35.2,23,85.5,51.6,32.9,15.2,13.6,17.8,544,1415,1.8,78.6,40.6,38.3
Loddon (S),51.2,48.8,51,15.9,8.6,6.9,9.6,14.3,18,15.2,8.2,3.4,51,8.6,6.8,79.8,28.9,16.7,86.3,55.7,31.3,10.7,8.4,8.8,467,1116,0.3,57.9,52.4,33.8
Macedon Ranges (S),49.2,50.8,42,20.5,10.9,8.5,13.6,15.5,13.8,11,4.4,1.8,54.7,22,10.4,79.8,37,25.5,89,55.8,34.3,22.2,13,16,702,1932,7.7,70.4,38.6,48.8
Manningham (C),48.4,51.6,43,16.1,12.7,11.1,12.1,14.4,12.5,10.6,7.5,3.2,57.8,32.3,9.7,55.7,30.7,22.5,53.6,55.7,34,28.5,14.4,10.5,629,1895,12.9,71.3,35.4,50.6
Mansfield (S),49.8,50.2,48,17.9,9.3,7.7,11,13.5,16.7,15.2,6.3,2.4,51,15,9.2,79.5,35.8,21.7,88.5,53.3,37.3,15.2,9.8,16.9,580,1338,1.5,64.6,50.1,36.3
Maribyrnong (C),50.3,49.7,33,16,13.2,23.1,17.1,12,8.8,4.9,3.1,1.7,39.9,34,8.9,52.4,36.4,20.2,51.1,58.1,29.3,28.7,12.7,10,703,1913,26.2,56.6,38,43.2
Maroondah (C),48.4,51.6,38,18.6,12,13.8,14.1,13.8,11.5,8.8,4.9,2.4,50.6,24.2,10.8,72.2,36.3,20,78.8,58.1,32.2,23.7,15.1,14.9,696,1895,11.8,73.7,34.4,48.4
Melbourne (C),48.6,51.4,28,6.4,29.7,32.7,11.8,7.2,5.8,3.8,1.7,0.9,25.7,44.9,7.2,32.7,44.5,12.9,40.5,57.2,27.5,39.4,11.2,7.3,642,2062,32,23.6,59,22.8
Melton (C),49.4,50.6,33,24.6,13,15.4,16.8,12.5,9.2,5.6,2.1,0.7,51.7,16,9.1,63.5,21.9,32.9,61.3,59.4,28,14.8,15.8,14.8,658,1683,10,78.2,26.5,54.8
Mildura (RC),49.1,50.9,40,19,12.4,12.1,11.4,13.1,13.1,10.2,5.9,2.6,47,10.4,7.1,79.3,33.5,22.1,82.3,55.9,31.1,15.8,11.2,13.5,555,1340,0.7,77.6,41.3,39.5
Mitchell (S),50.3,49.7,37,20.7,13.1,12.7,12.6,14.2,12.4,8.8,4,1.4,47.6,10.6,8.7,79.1,31.9,28.5,84.9,58.6,29.8,12.6,13.6,17.5,648,1620,5.1,75.4,35.5,46.4
Moira (S),49.9,50.1,47,17.6,10.6,9.3,10,13,14.5,13.6,8.2,3.2,51.4,8.6,7.2,81.7,26,28.7,87.9,56.3,31.4,11.9,9.5,14,524,1283,0.4,69.3,47.3,36.3
Monash (C),49.1,50.9,37,15.8,16.6,14.9,12.9,12.7,10.1,8.4,6,2.8,51.7,34.8,9.3,46,31.4,18.9,45.4,55.6,32.2,30.4,14.2,10.4,569,1809,17.4,68.1,34.3,49.7
Moonee Valley (C),48.3,51.7,38,16.8,12.2,16,14.3,13.6,11,8,5.5,2.5,47.7,31.1,9,65.9,25.9,38.1,64.5,59.2,30.4,29.3,15.4,10.2,744,2098,19.9,63.2,35.5,47.5
Moorabool (S),49.5,50.5,40,20.3,11.9,11,13.3,14.9,13,10.1,4,1.5,50.3,14.1,9.1,80.6,35,28.4,88.6,57.8,30.9,15.9,14.1,16.5,635,1670,6.7,74.1,37.3,46.3
Moreland (C),48.9,51.1,34,16,12.3,21.8,15.8,11.8,8.5,5.9,5.2,2.7,41.6,33.6,8.4,59.2,31.9,27,56,58,30.5,31.1,13.5,11.5,680,1843,26,53.2,38.8,44.1
Mornington Peninsula (S),48.3,51.7,46,17.4,10.6,8.7,11.6,13.7,13.6,13.5,7.8,3.3,51.2,17.2,10.6,75.5,38.8,20.5,88.9,53.5,36.3,18.8,12,17.7,630,1621,2.7,76,42.9,40.9
Mount Alexander (S),50,50,49,15.1,8.9,8.3,11.5,15,17.2,14,7.1,3,44.3,22.4,9,79.2,45.1,11.8,85,48.4,40.6,23.8,9.6,13.8,550,1311,5.7,65.8,47.1,35.3
Murrindindi (S),50.7,49.3,48,15.9,8.8,8.1,11.7,14.4,17.3,15.2,6.2,2.3,50.1,12.9,9.5,79.2,39.3,16.9,88.6,54.1,34.4,13.7,11.1,18.3,553,1388,1.8,68.6,50.2,37.4
Nillumbik (S),49.4,50.6,41,19.6,13.9,9.2,13.1,16.5,14.5,8.8,3.2,1.2,56.1,28.4,10.9,80,40.8,24,86.8,55.8,35.5,25.9,14.8,14.4,784,2307,9.8,73.2,31,56.8
Northern Grampians (S),49.4,50.6,48,15,10.3,9.4,10.2,14.3,16,14,7.4,3.5,48.8,9.8,7.2,84.4,32.9,18.5,89.7,54.5,33.4,11.9,8.9,11.8,513,1257,0.6,69.6,49.8,35
Port Phillip (C),48.9,51.1,36,11.7,9.4,26,18,13.4,10.1,6.9,3.2,1.4,32.5,43.6,9.5,57.9,42.3,17.5,69.4,67.2,23.8,37.8,12.3,7.7,1087,2559,27.7,45.7,54.1,31.6
Pyrenees (S),52.9,47.1,50,15.6,8.1,7.9,10.9,14.4,18.4,16,6.2,2.5,48.8,9.5,7.9,81.5,31.7,17.3,84.6,52.1,34.5,11.2,10.1,13.5,472,1148,0.9,66.5,49.8,36.5
Queenscliffe (B),46.5,53.5,60,11.5,7.3,4.5,7.2,11.6,17.5,21.8,13.4,5.2,60.9,31.1,13.2,80.6,33.9,19.6,88.9,46.9,43.4,31.9,11.8,11.4,671,1571,4.8,61.7,60.3,28.9
South Gippsland (S),49,51,47,17.8,9.6,8.8,10.4,13.8,15.8,14.1,6.8,2.8,52.6,12.7,8.3,80.1,38.1,17.4,89,51.9,36.4,13.4,10.2,15.1,537,1320,0.8,66,47.6,38.2
Southern Grampians (S),48.7,51.3,46,17.2,10.9,9.2,10.4,13.7,15.2,12.7,7.1,3.7,52.2,13.4,8.2,84.9,28.3,18.9,91.8,54.4,34.8,15.6,10.5,13.9,576,1370,0.5,66.8,46.4,39
Stonnington (C),47.5,52.5,35,12.3,13.7,23.7,13.6,11.7,9.6,7.8,5,2.4,38.9,47.1,9.1,60.8,36.9,18.6,69.6,64,27.1,39.8,12.3,6.1,1042,2680,28.4,47.7,48.6,37.5
Strathbogie (S),49.4,50.6,52,14.8,8.1,8.1,9.5,13.3,17.9,16,8.6,3.7,49.9,12.3,9.1,81.4,31.7,23.2,88.7,54.1,34.4,14.2,9.1,14.1,546,1293,1.3,66.6,52.6,31.9
Surf Coast (S),49.6,50.4,42,20.5,9.7,9.9,14,14.3,13.9,10.8,4.7,1.9,55.4,27,11.6,82.4,42.4,21.1,90.5,53.3,37.3,25.1,11,14.8,722,1876,3.6,70.9,41.1,47.2
Swan Hill (RC),50.4,49.6,40,19.1,12,12.2,11.2,13.2,13.4,10,6.2,2.7,50.7,9,6.6,74.7,26.6,24.3,76.4,58.2,29.9,14.1,10.7,13.2,580,1358,0.5,73.4,42.5,41
Towong (S),51.4,48.6,50,16.2,9.1,7.6,9.5,14.8,17.3,15.3,7.2,3.3,55.3,11.2,9,82.7,28.9,18.2,90.4,55.5,32.2,14.3,9.5,13.9,535,1340,0.6,62.1,54.5,34.4
Warrnambool (C),48,52,40,18.2,13.3,12.1,11.7,13.3,12.6,10.1,5.9,2.9,46,15.5,8.3,84.1,32.1,30.2,88.6,52.5,36.4,18.9,11.5,14.2,618,1503,0.7,77.7,40.9,40.6
Wellington (S),50.5,49.5,43,17.8,10.9,11.3,11.4,13.3,15.2,11.9,6,2.4,49.8,11.5,7.7,80.6,32.9,19.9,86.9,54.5,32.7,15.6,10.2,16.2,562,1409,0.7,70.3,45.4,39
West Wimmera (S),50.3,49.7,48,17.2,9.2,9,9.2,15.3,15.4,13.3,8,3.4,54,10.4,8.1,87.5,26.8,17.3,92.7,58.7,30.8,12.1,6.7,8.5,555,1302,0.3,55.7,50.7,37.9
Whitehorse (C),48.2,51.8,38,16.8,14.5,14.1,13.3,13.1,10.7,8.4,6,3.1,51.5,35.9,10.2,57.2,36.8,18.7,59.4,54.7,34.2,31.8,13.9,10.2,619,1916,19.4,64.6,34.5,49.5
Whittlesea (C),49.4,50.6,34,21.3,12.8,17.1,14.9,12.4,9.8,6.8,3.7,1.2,53.7,18,9.5,58.4,20.1,28,51.1,57.6,30,16.2,14.8,15.4,591,1569,10.9,76.9,29,53.2
