LGA Name,Male,Female,Median Age,0-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Married,Bachelor Degree level and above,Advanced Diploma and Diploma level,Australia,"No Religion, so described",Catholic,English only spoken at home,Worked full-time,Worked part-time,Professionals,Clerical and Administrative Workers,Technicians and Trades Workers,PersonalMedianIncomeWeekly,FamilyMedianIncomeWeekly,People who travelled to work by public transport,People who travelled to work by car as driver or passenger,Couple family without children,Couple family with children
Rockdale (C),49.4,50.6,35,16,12.4,20,14.3,12,9.9,7.6,5.1,2.6,49.4,27.7,9.7,46.3,19.8,20.9,37.6,59.5,29.3,22.6,15,11.9,666,1746,32.5,53.7,36.8,45.6
Ryde (C),48.6,51.4,36,16.2,13.6,18.3,14.7,12.5,10.5,7.2,4.5,2.6,51,39.4,9.5,48.5,30.2,25.3,47.7,61.9,27.5,33.4,15.2,10,738,2106,28.2,55.3,36,49.1
Shellharbour (C),48.9,51.1,39,19.9,13.1,11.7,12.6,13.5,12.5,9.5,5.2,2,49.9,10.4,8.6,77.4,25,28,84.7,55.5,32.5,14.2,13.5,17.5,579,1562,3.1,79.7,34.7,45
Shoalhaven (C),49.5,50.5,48,16.4,9.9,9.4,10.1,12.3,15.4,15,8.2,3.2,49.5,12.1,8.5,79,29.1,20.3,88.5,50.8,36.7,16.9,11.4,17.2,511,1226,1,74.1,48.8,33.3
Singleton (A),50.9,49.1,36,21.1,13.7,12.7,13.3,14.5,11.9,7.6,3.6,1.5,50.6,10.5,7.2,84,22,24.7,89.7,59.5,28.9,12.3,10.9,17.8,684,1981,0.6,75.2,36.1,47.9
Strathfield (A),50.7,49.3,32,15.4,15.7,23,13.1,11.6,9.7,5.9,3.8,1.9,50.9,38,8.2,36.7,21.6,23,29.3,60.1,28.4,31.8,13.9,10.3,682,1894,36.3,50.6,31.3,52.1
Sutherland Shire (A),48.8,51.2,40,19.1,11.8,12,13.8,13.9,12.5,9.1,5.1,2.7,53.7,23.5,11.7,77.7,24.1,29.2,83.1,61.4,30.6,24,16.7,13.5,837,2312,16.9,67.7,34.2,51.4
Sydney (C),51.8,48.2,32,6.7,17.7,33,16.3,10.3,7.7,5,2.3,0.9,25.7,44,8.4,39.4,43.2,15.4,51.5,65.3,24.6,37.7,11.1,7.9,953,2524,35.6,23.2,63.1,22.9
Temora (A),49.7,50.3,46,19.3,10.2,9.3,9.7,13.5,14,12.8,7.7,3.4,52.4,9.9,5.9,88.4,14.5,28.6,92.4,56.4,31.9,14.1,10.8,13.9,546,1329,0.7,67.2,46.3,38.2
Tenterfield (A),49.1,50.9,53,15.6,8.3,6.4,10,12.5,19.6,17.1,7.8,2.7,47.8,9.3,6.7,79.7,23.7,20.6,86.5,52.7,32.7,11.2,9.9,11.5,454,1015,0.7,60.5,54.1,28.4
